Node,Step,Graph,Correlation
0,1,IG,0.7319250547113998
0,1,EG,0.7319250547113998
0,2,IG,0.7319250547113998
0,2,EG,0.7319250547113998
0,3,IG,0.6273643326097712
0,3,EG,0.6273643326097712
0,4,IG,0.6273643326097712
0,4,EG,0.6273643326097712
0,5,IG,0.6273643326097712
0,5,EG,0.6273643326097712
0,6,IG,0.6273643326097712
0,6,EG,0.6273643326097712
0,7,IG,0.6273643326097712
0,7,EG,0.6273643326097712
0,8,IG,0.6273643326097712
0,8,EG,0.6273643326097712
0,9,IG,0.6273643326097712
0,9,EG,0.6273643326097712
0,10,IG,0.6273643326097712
0,10,EG,0.6273643326097712
0,11,IG,0.6273643326097712
0,11,EG,0.6273643326097712
0,12,IG,0.6273643326097712
0,12,EG,0.6273643326097712
0,13,IG,0.6273643326097712
0,13,EG,0.6273643326097712
0,14,IG,0.6273643326097712
0,14,EG,0.6273643326097712
0,15,IG,0.6273643326097712
0,15,EG,0.6273643326097712
0,16,IG,0.6273643326097712
0,16,EG,0.6273643326097712
0,17,IG,0.6273643326097712
0,17,EG,0.6273643326097712
0,18,IG,0.6273643326097712
0,18,EG,0.6273643326097712
0,19,IG,0.6273643326097712
0,19,EG,0.6273643326097712
0,20,IG,0.6273643326097712
0,20,EG,0.6273643326097712
1,1,IG,0.6273643326097712
1,1,EG,0.6273643326097712
1,2,IG,0.713824347669804
1,2,EG,0.7163161963772097
1,3,IG,0.713824347669804
1,3,EG,0.7163161963772097
1,4,IG,0.713824347669804
1,4,EG,0.7163161963772097
1,5,IG,0.713824347669804
1,5,EG,0.7163161963772097
1,6,IG,0.713824347669804
1,6,EG,0.7163161963772097
1,7,IG,0.713824347669804
1,7,EG,0.7163161963772097
1,8,IG,0.713824347669804
1,8,EG,0.7163161963772097
1,9,IG,0.713824347669804
1,9,EG,0.7163161963772097
1,10,IG,0.713824347669804
1,10,EG,0.7163161963772097
1,11,IG,0.713824347669804
1,11,EG,0.7163161963772097
1,12,IG,0.713824347669804
1,12,EG,0.7163161963772097
1,13,IG,0.713824347669804
1,13,EG,0.7163161963772097
1,14,IG,0.713824347669804
1,14,EG,0.7163161963772097
1,15,IG,0.713824347669804
1,15,EG,0.7163161963772097
1,16,IG,0.713824347669804
1,16,EG,0.7163161963772097
1,17,IG,0.713824347669804
1,17,EG,0.7163161963772097
1,18,IG,0.713824347669804
1,18,EG,0.7163161963772097
1,19,IG,0.713824347669804
1,19,EG,0.7163161963772097
1,20,IG,0.713824347669804
1,20,EG,0.7163161963772097
2,1,IG,
2,1,EG,
2,2,IG,
2,2,EG,
2,3,IG,
2,3,EG,
2,4,IG,
2,4,EG,
2,5,IG,
2,5,EG,
2,6,IG,
2,6,EG,
2,7,IG,
2,7,EG,
2,8,IG,
2,8,EG,
2,9,IG,
2,9,EG,
2,10,IG,
2,10,EG,
2,11,IG,
2,11,EG,
2,12,IG,
2,12,EG,
2,13,IG,
2,13,EG,
2,14,IG,
2,14,EG,
2,15,IG,
2,15,EG,
2,16,IG,
2,16,EG,
2,17,IG,
2,17,EG,
2,18,IG,
2,18,EG,
2,19,IG,
2,19,EG,
2,20,IG,
2,20,EG,
3,1,IG,0.9999999999999999
3,1,EG,0.9999999999999999
3,2,IG,0.41824288840651414
3,2,EG,0.7163161963772098
3,3,IG,0.4181210050035454
3,3,EG,0.6483110991099295
3,4,IG,0.4729152023027616
3,4,EG,0.20239728539584823
3,5,IG,0.28720793872861583
3,5,EG,0.3166086924751316
3,6,IG,0.7920709727388785
3,6,EG,0.5528414378667822
3,7,IG,0.5539117094069973
3,7,EG,0.5957679494075561
3,8,IG,0.4977957276938644
3,8,EG,0.3039251944535307
3,9,IG,0.5375685216169227
3,9,EG,0.44929003093406783
3,10,IG,0.5375685216169227
3,10,EG,0.44929003093406783
3,11,IG,0.5375685216169227
3,11,EG,0.44929003093406783
3,12,IG,0.5375685216169227
3,12,EG,0.44929003093406783
3,13,IG,0.5375685216169227
3,13,EG,0.44929003093406783
3,14,IG,0.5375685216169227
3,14,EG,0.44929003093406783
3,15,IG,0.5375685216169227
3,15,EG,0.44929003093406783
3,16,IG,0.5375685216169227
3,16,EG,0.44929003093406783
3,17,IG,0.5375685216169227
3,17,EG,0.44929003093406783
3,18,IG,0.5375685216169227
3,18,EG,0.44929003093406783
3,19,IG,0.5375685216169227
3,19,EG,0.44929003093406783
3,20,IG,0.5375685216169227
3,20,EG,0.44929003093406783
4,1,IG,0.8438159256945178
4,1,EG,0.7044164475972786
4,2,IG,0.3554093266554554
4,2,EG,0.4537306001250947
4,3,IG,0.441805931914441
4,3,EG,0.33225209496983843
4,4,IG,0.4623631978939714
4,4,EG,0.510204081632653
4,5,IG,0.6543464737862226
4,5,EG,0.6088654154877909
4,6,IG,0.6776500820113078
4,6,EG,0.8037240599375329
4,7,IG,0.7596870481307021
4,7,EG,0.6114089136573526
4,8,IG,0.7958626218512117
4,8,EG,0.790680045748243
4,9,IG,0.7966275068156916
4,9,EG,0.7782178027262621
4,10,IG,0.7966275068156916
4,10,EG,0.7782178027262621
4,11,IG,0.7966275068156916
4,11,EG,0.7782178027262621
4,12,IG,0.7966275068156916
4,12,EG,0.7782178027262621
4,13,IG,0.7966275068156916
4,13,EG,0.7782178027262621
4,14,IG,0.7966275068156916
4,14,EG,0.7782178027262621
4,15,IG,0.7966275068156916
4,15,EG,0.7782178027262621
4,16,IG,0.7966275068156916
4,16,EG,0.7782178027262621
4,17,IG,0.7966275068156916
4,17,EG,0.7782178027262621
4,18,IG,0.7966275068156916
4,18,EG,0.7782178027262621
4,19,IG,0.7966275068156916
4,19,EG,0.7782178027262621
4,20,IG,0.7966275068156916
4,20,EG,0.7782178027262621
5,1,IG,0.9926738940125376
5,1,EG,0.9999999999999999
5,2,IG,0.451255232563791
5,2,EG,0.3413954965475697
5,3,IG,0.4389163272550779
5,3,EG,0.6830224837506875
5,4,IG,0.4748891620351488
5,4,EG,0.6769815941722592
5,5,IG,0.5100661370007153
5,5,EG,0.567791014467056
5,6,IG,0.6063184944311701
5,6,EG,0.7066853689573127
5,7,IG,0.5968969663884087
5,7,EG,0.5474150453297736
5,8,IG,0.5968969663884087
5,8,EG,0.5511580541867293
5,9,IG,0.5974706301117687
5,9,EG,0.5629275778364624
5,10,IG,0.5974706301117687
5,10,EG,0.5629275778364624
5,11,IG,0.5974706301117687
5,11,EG,0.5629275778364624
5,12,IG,0.5974706301117687
5,12,EG,0.5629275778364624
5,13,IG,0.5974706301117687
5,13,EG,0.5629275778364624
5,14,IG,0.5974706301117687
5,14,EG,0.5629275778364624
5,15,IG,0.5974706301117687
5,15,EG,0.5629275778364624
