Node,Step,Graph,Correlation
3,1,IG,0.8005368279510605
3,1,EG,0.800604346773121
3,2,IG,0.876092471992994
3,2,EG,0.8763241697547504
3,3,IG,0.9144173421738485
3,3,EG,0.8456881513297306
3,4,IG,0.9361825808968394
3,4,EG,0.939113672241224
3,5,IG,0.8998315811303569
3,5,EG,0.9127229066264975
3,6,IG,0.9050836973503289
3,6,EG,0.9153818867949294
3,7,IG,0.8764198580228377
3,7,EG,0.8903270363946043
3,8,IG,0.8503385004124653
3,8,EG,0.8618051095434608
3,9,IG,0.8745874620139829
3,9,EG,0.8743407229369715
3,10,IG,0.8745874620139829
3,10,EG,0.8722328147128019
3,11,IG,0.8745874620139829
3,11,EG,0.8698798008811708
3,12,IG,0.8745874620139829
3,12,EG,0.8681477212551088
3,13,IG,0.8503385004124653
3,13,EG,0.8480297220479038
3,14,IG,0.8745874620139829
3,14,EG,0.868409167236401
3,15,IG,0.8745874620139829
3,15,EG,0.8675758081710317
3,16,IG,0.8745874620139829
3,16,EG,0.868066019385955
3,17,IG,0.8745874620139829
3,17,EG,0.8685072094793858
3,18,IG,0.874594688665738
3,18,EG,0.8672316559457313
3,19,IG,0.874594688665738
3,19,EG,0.8663165874501269
3,20,IG,0.8745874620139829
3,20,EG,0.8668241509748164
4,1,IG,0.8005368279510605
4,1,EG,0.8003410333882259
4,2,IG,0.876092471992994
4,2,EG,0.7571767747446805
4,3,IG,0.9257981081502221
4,3,EG,0.9271277232148661
4,4,IG,0.9381555433026771
4,4,EG,0.9460209468487959
4,5,IG,0.8556421054727147
4,5,EG,0.9426992706022953
4,6,IG,0.833741315938901
4,6,EG,0.8954486395035645
4,7,IG,0.7730858546090328
4,7,EG,0.8633032692431607
4,8,IG,0.6491746529076482
4,8,EG,0.7945971209634913
4,9,IG,0.6491707430531116
4,9,EG,0.7745776264202237
4,10,IG,0.6491707430531116
4,10,EG,0.7673943965859478
4,11,IG,0.6491746529076482
4,11,EG,0.7747621732110975
4,12,IG,0.6491785628328309
4,12,EG,0.7836890221327337
4,13,IG,0.6491785628328309
